Code,RunkByGunOwenership,Country,Guns,Suicide,GDP,Homicide,latitude,longitude,HDI2015,gni2016,Developed
FJI,168, Fiji,0.5,8.5,5761.062,2.97,-16.578193,179.414413,0.736,4780,no
FRA,9, France,31.2,16.9,39673.138,1.58,46.227638,2.213749,0.897,38720,yes
GAB,44, Gabon,14,10.9,7583.932,9,-0.803689,11.609444,0.697,7210,no
GBR,82, UnitedKingdom,6.2,8.5,38846.794,0.92,55.378051,-3.435973,0.91,42360,yes
GEO,77, Georgia,7.3,6.7,4123.314,2.68,42.315407,43.356892,0.769,3830,no
GHA,172, Ghana,0.4,6.9,1607.739,1.7,7.946527,-1.023194,0.579,1380,no
GIN,144, Guinea,1.2,7.7,707.989,8.46,9.945587,-9.696645,0.414,670,no
GMB,154, Gambia,0.8,6.2,488.468,9.07,13.443182,-15.310139,0.452,430,no
GNB,126, Guinea-Bissau,1.6,6.3,761.348,9.17,11.803749,-15.180413,0.424,600,no
GNQ,29, EquatorialGuinea,19.9,22.6,11948.105,3.21,1.650801,10.267895,0.592,7180,no
GRC,23, Greece,22.5,4.3,18945.088,0.85,39.074208,21.824312,0.866,19050,yes
GTM,47, Guatemala,13.1,2.5,4184.922,31.21,15.783471,-90.230759,0.64,3790,no
GUY,43, Guyana,14.6,29,4662.296,19.42,4.860416,-58.93018,0.638,4240,no
HND,87, Honduras,6.2,3.6,2729.778,63.75,15.199999,-86.241905,0.625,2150,no
HRV,25, Croatia,21.7,17.5,12862.948,0.87,45.1,15.2,0.827,12130,no
HTI,161, Haiti,0.6,11.2,761.191,10.04,18.971187,-72.285215,0.493,780,no
HUN,90, Hungary,5.5,21.6,13459.733,1.48,47.162494,19.503304,0.836,12570,yes
IDN,169, Indonesia,0.5,2.9,3858.693,0.5,-0.789275,113.921327,0.689,3400,no
IND,107, India,4.2,15.7,1852.088,3.21,20.593684,78.96288,0.624,1670,no
IRL,106, Ireland,4.3,11.7,68604.375,0.64,53.41291,-8.24389,0.923,52010,yes
IRN,78, Iran,7.3,3.6,5252.413,4.12,32.427908,53.688046,0.774,5470,no
IRQ,6, Iraq,34.2,3,4958.069,8,33.223191,43.679291,0.649,5420,no
ISL,12, Iceland,30.3,13.1,73092.204,0.91,64.963051,-19.020835,0.921,56790,yes
ITA,53, Italy,11.9,7.9,31618.678,0.78,41.87194,12.56738,0.887,31720,yes
JAM,71, Jamaica,8.1,1.4,5023.606,43.21,18.109581,-77.297508,0.73,4630,no
JOR,56, Jordan,11.5,3.2,5677.617,2,30.585164,36.238414,0.742,3920,no
JPN,162, Japan,0.6,19.7,38550.089,0.31,36.204824,138.252924,0.903,37930,yes
KAZ,140, Kazakhstan,1.3,27.5,8585.31,4.84,48.019573,66.923684,0.794,8810,no
KEN,84, Kenya,6.4,6.5,1677.695,5.75,-0.023559,37.906193,0.555,1380,no
KGZ,153, Kyrgyzstan,0.9,7.4,1139.574,5.12,41.20438,74.766098,0.664,1100,no
KHM,105, Cambodia,4.3,11.9,1389.631,1.84,12.565679,104.990963,0.563,1140,no
KOR,148, SouthKorea,1.1,28.3,29730.204,0.74,35.907757,127.766922,0.901,27600,yes
KWT,17, Kuwait,24.8,4,27236.747,1.78,29.31166,47.481766,0.8,34890,yes
LAO,143, Laos,1.2,12.3,2567.502,6.87,19.85627,102.495496,0.586,2150,no
LBN,28, Lebanon,21,3.1,11683.945,3.95,33.854721,35.862285,0.763,7980,no
LBR,127, Liberia,1.6,6.3,474.984,3.22,6.428055,-9.429499,0.427,370,no
LKA,132, SriLanka,1.5,35.3,3905.6,2.91,7.873054,80.771797,0.766,3850,no
LSO,120, Lesotho,2.7,10.4,1413.554,38,-29.609988,28.233608,0.497,1270,no
LTU,157, Lithuania,0.7,32.7,16443.205,5.98,55.169438,23.881275,0.848,14770,yes
LUX,40, Luxembourg,15.3,11.1,107708.217,0.72,49.815273,6.129583,0.898,71590,yes
LVA,31, Latvia,19,21.7,15402.657,4.11,56.879635,24.603189,0.83,14570,yes
MAR,97, Morocco,5,4.8,3176.53,1.05,31.791702,-7.09262,0.647,2880,no
MDA,80, Moldova,7.1,14.8,2240.075,3.19,47.411631,28.369885,0.699,2120,no
MDG,155, Madagascar,0.8,4.7,412.168,0.62,-18.766947,46.869107,0.512,400,no
MDV,83, Maldives,6.5,8.6,12568.603,0.85,3.202778,73.22068,0.701,10380,no
MEX,41, Mexico,15,5,9249.265,16.35,23.634501,-102.552784,0.762,9040,no
MKD,19, RepublicofMacedonia,24.1,8.1,5500.299,1.59,41.608635,21.745275,0.748,4980,no
MLI,149, Mali,1.1,5.7,793.836,10.82,17.570692,-3.996166,0.442,770,no
MLT,54, Malta,11.9,6,27567.366,0.96,35.937496,14.375416,0.856,24190,yes
MMR,108, Myanmar,4,4.3,1272.035,2.42,21.913965,95.956223,0.556,1190,no
MNE,21, Montenegro,23.1,11,7071.36,2.72,42.708678,19.37439,0.807,7120,no
MNG,123, Mongolia,1.9,28.3,3552.901,7.23,46.862496,103.846656,0.735,3590,no
MOZ,96, Mozambique,5.1,8.4,417.927,3.39,-18.665695,35.529562,0.418,480,no
MRT,128, Mauritania,1.6,5.9,1284.411,10.22,21.00789,-10.940835,0.513,1130,no
MUS,42, Mauritius,14.7,9.3,9671.904,2.71,-20.348404,57.552152,0.781,9770,no
MWI,158, Malawi,0.7,5.5,326.609,1.78,-13.254308,34.301525,0.476,320,no
MYS,130, Malaysia,1.5,5.8,9659.878,1.92,4.210484,101.975766,0.789,9860,no
NAM,49, Namibia,12.6,7.7,5358.2,16.93,-22.95764,18.49041,0.64,4640,no
NGA,131, Nigeria,1.5,9.9,2092.465,9.79,9.081999,8.675277,0.527,2450,no
NIC,74, Nicaragua,7.7,9.5,2201.073,11.49,12.865416,-85.207229,0.645,2100,no
NLD,109, Netherlands,3.9,11.9,48271.668,0.61,52.132633,5.291266,0.924,46610,yes
NOR,8, Norway,31.3,10.9,73615.153,0.56,60.472024,8.468946,0.949,82390,yes
NPL,156,   Nepal,0.8,6,824.229,2.27,28.394857,84.124008,0.558,730,no
NZL,22, NewZealand,22.6,12.6,41629.329,0.91,-40.900557,174.885971,0.915,38740,yes
PAN,26, Panama,21.7,5.5,14409.297,11.38,8.537981,-80.782127,0.788,12140,no
PER,32, Peru,18.8,5.8,6598.46,7.16,-9.189967,-75.015152,0.74,5950,no
PHL,101, Philippines,4.7,3.4,3022.448,9.84,12.879721,121.774017,0.682,3580,no
PNG,145, PapuaNewGuinea,1.2,10.3,2689.737,10.42,-6.314993,143.95555,0.516,2680,no
POL,141, Poland,1.3,22.3,13429.414,0.74,51.919438,19.145136,0.855,12680,yes
PRT,69, Portugal,8.5,13.7,20575.028,0.97,39.399872,-8.224454,0.843,19880,yes
PRY,36, Paraguay,17,10.3,4138.768,9.29,-23.442503,-58.443832,0.693,4060,no
ROU,160, Romania,0.7,11.7,10372.142,1.49,45.943161,24.96676,0.802,9480,no
RUS,66, Russia,8.9,20.1,10248.238,11.31,61.52401,105.318756,0.804,9720,no
RWA,164, Rwanda,0.6,8.5,754.139,4.51,-1.940278,29.873888,0.498,700,no
SAU,5, SaudiArabia,35,3.4,20957.21,1.5,23.885942,45.079162,0.847,21720,yes
SDN,91, Sudan,5.5,10.2,2917.395,6.45,12.862807,30.217636,0.49,2140,no
SEN,122, Senegal,2,6.1,998.201,7.3,14.497401,-14.452362,0.494,950,no
SGP,170, Singapore,0.5,9.9,53880.128,0.25,1.352083,103.819836,0.925,51880,yes
SLB,173, SolomonIslands,0.4,7.9,2074.15,3.77,-9.64571,160.156194,0.515,1880,no
SLE,165, SierraLeone,0.6,15.4,593.903,1.92,8.460555,-11.779889,0.42,490,no
SLV,89, ElSalvador,5.8,11.1,4303.2,108.64,13.794185,-88.89653,0.68,3920,no
SRB,2, Serbia,58.21,17,5599.613,1.13,44.016521,21.005859,0.776,5310,no
SUR,46, Suriname,13.4,26.6,6415.721,10.68,3.919305,-56.027783,0.725,6990,no
SVK,70, Slovakia,8.3,12.5,17491.098,0.88,48.669026,19.699024,0.845,16800,yes
SVN,45, Slovenia,13.5,21.4,23276.502,1.21,46.151241,14.995463,0.89,21620,yes
SWE,27, Sweden,21,15.4,53248.143,1.15,60.128161,18.643501,0.913,54480,yes
SWZ,85, Swaziland,6.4,14.7,3513.224,8.16,-26.522503,31.465866,0.541,2960,no
SYC,93, Seychelles,5.4,9.3,15658.062,2.15,-4.679574,55.491977,0.782,15410,yes
TCD,147, Chad,1.1,8.8,799.355,9.02,15.454166,18.732207,0.396,720,no
TGO,152, Togo,1,9.5,621.831,9.14,8.619543,0.824782,0.487,540,no
THA,38, Thailand,15.6,16,6336.34,3.51,15.870032,100.992541,0.74,5640,no
TJK,151, Tajikistan,1,4,818.629,1.44,38.861034,71.276093,0.627,1110,no
TKM,111, Turkmenistan,3.8,10,7522.07,4.2,38.969719,59.556278,0.692,6670,no
TLS,174, Timor-Leste,0.3,7.1,2189.951,3.69,-8.874217,125.727539,0.606,2060,no
TTO,129, TrinidadandTobago,1.6,14.6,14784.095,30.88,10.691803,-61.222503,0.78,16240,yes
TUN,175, Tunisia,0.1,5.5,3517.517,3.05,33.886917,9.537499,0.725,3690,no
TUR,51, Turkey,12.5,8.7,10434.023,4.3,38.963745,35.243322,0.767,11230,no
TZA,137, Tanzania,1.4,7,1040.505,7.01,-6.369028,34.888822,0.531,900,no
UGA,138, Uganda,1.4,7.2,700.525,11.84,1.373333,32.290275,0.493,630,no
UKR,81, Ukraine,6.6,20.1,2458.594,4.36,48.379433,31.16558,0.743,2310,no
URY,7, Uruguay,31.8,17,17252.216,8.42,-32.522779,-55.765835,0.795,15230,yes
USA,1, UnitedStates,101,14.3,59495.336,4.88,37.09024,-95.712891,0.92,56810,yes
UZB,133, Uzbekistan,1.5,9.3,2128.21,2.99,41.377491,64.585262,0.701,2220,no
VNM,125, Vietnam,1.7,7.4,2306.227,1.52,14.058324,108.277199,0.683,2060,no
YEM,3, Yemen,54.8,8.2,856.409,6.67,15.552727,48.516388,0.482,1040,no
ZAF,48, SouthAfrica,12.7,10.7,6089.224,34.27,-30.559482,22.937506,0.666,5480,no
ZMB,67, Zambia,8.9,6.4,1483.69,5.85,-13.133897,27.849332,0.579,1360,no
ZWE,104, Zimbabwe,4.6,10.5,1149.72,6.74,-19.015438,29.154857,0.516,890,no
